NUTS3,CODE
'NL127','8841
'NL115','9629
'NL415','5085
'NL226','6642
'NL416','5342
'NL414','5738
'NL32A','2041
'NL226','6914
'NL32B','1118
'NL226','6661
'NL416','5481
'NL414','5735
'NL342','4416
'NL414','5091
'NL363','2182
'NL416','5341
'NL226','6663
'NL414','5737
'NL133','7981
'NL365','2435
'NL221','3773
'NL416','5344
'NL414','5096
'NL128','8771
'NL416','5343
'NL221','3772
'NL226','6915
'NL221','3775
'NL32B','1115
'NL226','6665
'NL32A','2061
'NL416','5482
'NL128','9021
'NL224','4024
'NL342','4417
'NL128','8773
'NL224','4021
'NL226','6911
'NL226','6913
'NL32B','1119
'NL127','9025
'NL365','2432
'NL127','9027
'NL127','9022
'NL226','6662
'NL365','2431
'NL32B','1117
'NL127','9024
'NL128','8772
'NL221','3771
'NL224','4023
'NL363','2181
'NL414','5731
'NL131','9419
'NL325','1509
'NL32B','1114
'NL350','2435
'NL128','8774
'NL131','9417
'NL133','9417
'NL414','5094
'NL133','7983
'NL127','9026
'NL127','9023
'NL342','4413
'NL131','9418
'NL225','7051
'NL366','2841
'NL327','1276
'NL213','7447
'NL131','9411
'NL366','3238
'NL32B','1132
'NL224','4161
'NL361','2596
'NL127','9164
'NL32B','1135
'NL363','2451
'NL131','9414
'NL423','6129
'NL361','2595
'NL350','4163
'NL126','8451
'NL327','1277
'NL341','4554
'NL325','1525
'NL127','9163
'NL225','7055
'NL131','9413
'NL361','2597
'NL127','9161
'NL361','2594
'NL127','9162
'NL225','7054
'NL342','4411
'NL131','9412
'NL131','9416
'NL127','9166
'NL213','7448
'NL342','4415
'NL421','5872
'NL230','8239
'NL131','9415
'NL342','4414
'NL132','7828
'NL364','2975
'NL212','8105
'NL366','3224
'NL323','1906
'NL212','7431
'NL364','3362
'NL126','8389
'NL411','4931
'NL230','8243
'NL132','7824
'NL323','1901
'NL132','7823
'NL115','9811
'NL212','8102
'NL127','9171
'NL422','6114
'NL327','1262
'NL115','9959
'NL132','7825
'NL132','7827
'NL350','3612
'NL364','2971
'NL213','7574
'NL212','8101
'NL213','7573
'NL422','6112
'NL350','3615
'NL366','3221
'NL327','1261
'NL325','1511
'NL32B','1511
'NL131','9423
'NL133','9423
'NL115','9812
'NL411','4681
'NL115','9957
'NL213','7575
'NL133','7964
'NL321','1797
'NL321','1652
'NL423','6255
'NL323','1902
'NL321','1655
'NL213','7572
'NL224','5327
'NL133','8387
'NL115','9956
'NL132','7822
'NL422','6111
'NL213','7576
'NL321','1796
'NL415','5076
'NL132','9564
'NL132','7826
'NL212','8103
'NL364','2973
'NL321','1657
'NL230','8245
'NL321','1654
'NL364','3364
'NL114','9561
'NL366','3222
'NL213','7571
'NL364','3363
'NL115','9955
'NL114','9563
'NL230','8244
'NL132','7821
'NL364','3366
'NL321','1658
'NL131','9421
'NL114','9566
'NL230','8242
'NL364','3361
'NL128','8637
'NL350','3751
'NL230','3897
'NL321','1793
'NL350','3752
'NL224','4004
'NL226','6645
'NL416','5469
'NL133','7963
'NL350','3755
'NL115','9951
'NL321','1791
'NL128','8633
'NL226','6641
'NL133','8382
'NL32A','2042
'NL133','8383
'NL224','4006
'NL416','5345
'NL128','8631
'NL321','1795
'NL224','5325
'NL128','8775
'NL230','3898
'NL128','8635
'NL423','6251
'NL350','3754
'NL414','5095
'NL133','8381
'NL115','9954
'NL133','7966
'NL221','3774
'NL230','3896
'NL416','5347
'NL224','4007
'NL416','5074
'NL415','5074
'NL224','5324
'NL321','1794
'NL230','8241
'NL226','6644
'NL321','1792
'NL133','8385
'NL224','4005
'NL416','5346
'NL128','8636
'NL115','9953
'NL133','7961
'NL224','5328
'NL133','7965
'NL230','3899
'NL350','3611
'NL128','8632
'NL126','8388
'NL423','6252
'NL133','8386
'NL133','8384
'NL224','4157
'NL363','2171
'NL32B','1106
'NL365','2421
'NL226','6902
'NL226','6652
'NL416','5476
'NL361','2586
'NL131','9404
'NL361','2566
'NL32B','1101
'NL224','4156
'NL131','9406
'NL361','2564
'NL32B','1103
'NL416','5473
'NL128','9013
'NL363','2172
